kernel,dtype,n,stride,misalign,reps,time_ns_med,time_ns_p05,time_ns_p95,gflops,cpe,GiBps,verified,max_rel_err
saxpy,f64,4096,8,0,9,2353.000000,2333.000000,3734.000000,3.481513,1.796293,38.908939,1,0.0000000000000e+00
saxpy,f64,4096,8,1,9,2348.000000,2337.000000,2392.000000,3.488927,1.792541,38.991795,1,0.0000000000000e+00
saxpy,f64,8192,1,0,9,4640.000000,4619.000000,4745.000000,3.531034,1.771091,39.462386,1,0.0000000000000e+00
saxpy,f64,8192,1,1,9,4625.000000,4609.000000,4740.000000,3.542486,1.765364,39.590372,1,0.0000000000000e+00
saxpy,f64,8192,2,0,9,4628.000000,4607.000000,4779.000000,3.540190,1.766504,39.564708,1,0.0000000000000e+00
saxpy,f64,8192,2,1,9,4647.000000,4628.000000,4754.000000,3.525716,1.773763,39.402941,1,0.0000000000000e+00
saxpy,f64,8192,4,0,9,4646.000000,4612.000000,4700.000000,3.526474,1.773433,39.411422,1,0.0000000000000e+00
saxpy,f64,8192,4,1,9,4617.000000,4593.000000,4689.000000,3.548625,1.762326,39.658971,1,0.0000000000000e+00
saxpy,f64,8192,8,0,9,4907.000000,4891.000000,4965.000000,3.338904,1.873008,37.315156,1,0.0000000000000e+00
saxpy,f64,8192,8,1,9,4706.000000,4686.000000,4749.000000,3.481513,1.796284,38.908939,1,0.0000000000000e+00
saxpy,f64,65536,1,0,9,36901.000000,36817.000000,37150.000000,3.551990,1.760675,39.696587,1,0.0000000000000e+00
saxpy,f64,65536,1,1,9,36909.000000,36856.000000,37224.000000,3.551221,1.761068,39.687983,1,0.0000000000000e+00
saxpy,f64,65536,2,0,9,39161.000000,39126.000000,43288.000000,3.347003,1.868507,37.405678,1,0.0000000000000e+00
saxpy,f64,65536,2,1,9,36918.000000,36865.000000,46834.000000,3.550355,1.761492,39.678307,1,0.0000000000000e+00
saxpy,f64,65536,4,0,9,39489.000000,39435.000000,44220.000000,3.319203,1.884126,37.094982,1,0.0000000000000e+00
saxpy,f64,65536,4,1,9,36972.000000,36887.000000,53694.000000,3.545169,1.764102,39.620355,1,0.0000000000000e+00
saxpy,f64,65536,8,0,9,39460.000000,39430.000000,41414.000000,3.321642,1.882760,37.122244,1,0.0000000000000e+00
saxpy,f64,65536,8,1,9,38774.000000,38506.000000,56871.000000,3.380410,1.850025,37.779021,1,0.0000000000000e+00
saxpy,f64,1048576,1,0,9,1286172.000000,679857.000000,3236794.000000,1.630538,3.835558,18.222679,1,0.0000000000000e+00
saxpy,f64,1048576,1,1,9,739062.000000,637864.000000,1172654.000000,2.837586,2.203945,31.712495,1,0.0000000000000e+00
saxpy,f64,1048576,2,0,9,763407.000000,710556.000000,1652554.000000,2.747096,2.277690,30.701186,1,0.0000000000000e+00
saxpy,f64,1048576,2,1,9,873654.000000,696552.000000,1720433.000000,2.400438,2.606651,26.826982,1,0.0000000000000e+00
saxpy,f64,1048576,4,0,9,886638.000000,796072.000000,1700340.000000,2.365285,2.645369,26.434125,1,0.0000000000000e+00
saxpy,f64,1048576,4,1,9,973097.000000,854948.000000,1858620.000000,2.155132,2.903324,24.085471,1,0.0000000000000e+00
saxpy,f64,1048576,8,0,9,1041569.000000,931624.000000,1988320.000000,2.013455,3.107629,22.502110,1,0.0000000000000e+00
saxpy,f64,1048576,8,1,9,1088740.000000,978436.000000,2049069.000000,1.926219,3.248393,21.527178,1,0.0000000000000e+00
saxpy,f64,8388608,1,0,9,12276353.000000,11836670.000000,14352193.000000,1.366629,4.578453,15.273266,1,0.0000000000000e+00
saxpy,f64,8388608,1,1,9,12231091.000000,11909303.000000,20563621.000000,1.371686,4.561592,15.329785,1,0.0000000000000e+00
saxpy,f64,8388608,2,0,9,24908110.000000,16531803.000000,34502272.000000,0.673564,9.289451,7.527669,1,0.0000000000000e+00
saxpy,f64,8388608,2,1,9,15800949.000000,15621027.000000,18276176.000000,1.061785,5.892936,11.866376,1,0.0000000000000e+00
saxpy,f64,8388608,4,0,9,22845733.000000,22651097.000000,25885201.000000,0.734370,8.520235,8.207222,1,0.0000000000000e+00
