kernel,dtype,n,stride,misalign,reps,time_ns_med,time_ns_p05,time_ns_p95,gflops,cpe,GiBps,verified,max_rel_err
saxpy,f32,33554432,8,0,9,79895315.000000,77547955.000000,89239163.000000,0.839960,7.443745,4.693642,1,0.0000000000000e+00
saxpy,f32,33554432,8,1,9,79452722.000000,77671517.000000,110241005.000000,0.844639,7.402510,4.719788,1,0.0000000000000e+00
saxpy,f32,67108864,1,0,9,56539993.000000,51001177.000000,86646270.000000,2.373855,2.633819,13.264947,1,0.0000000000000e+00
saxpy,f32,67108864,1,1,9,62702321.000000,51246816.000000,118852291.000000,2.140554,2.920866,11.961280,1,0.0000000000000e+00
saxpy,f32,67108864,2,0,9,74043098.000000,66322533.000000,137304673.000000,1.812697,3.449123,10.129236,1,0.0000000000000e+00
saxpy,f32,67108864,2,1,9,70374381.000000,67721348.000000,87708916.000000,1.907196,3.278231,10.657287,1,0.0000000000000e+00
saxpy,f32,67108864,4,0,9,104192218.000000,96613718.000000,291322205.000000,1.288174,4.852304,7.198234,1,0.0000000000000e+00
saxpy,f32,67108864,4,1,9,102118567.000000,99171099.000000,131319064.000000,1.314332,4.755781,7.344404,1,0.0000000000000e+00
saxpy,f32,67108864,8,0,9,160221697.000000,158073553.000000,234661534.000000,0.837700,7.463792,4.681014,1,0.0000000000000e+00
saxpy,f32,67108864,8,1,9,158379932.000000,157793459.000000,205476812.000000,0.847442,7.377997,4.735448,1,0.0000000000000e+00
saxpy,f64,512,1,0,9,300.000000,297.000000,398.000000,3.413333,1.831722,38.146973,1,0.0000000000000e+00
saxpy,f64,512,1,1,9,302.000000,292.000000,384.000000,3.390728,1.843933,37.894344,1,0.0000000000000e+00
saxpy,f64,512,2,0,9,301.000000,298.000000,383.000000,3.401993,1.837829,38.020239,1,0.0000000000000e+00
saxpy,f64,512,2,1,9,302.000000,300.000000,381.000000,3.390728,1.843961,37.894344,1,0.0000000000000e+00
saxpy,f64,512,4,0,9,301.000000,297.000000,365.000000,3.401993,1.837832,38.020239,1,0.0000000000000e+00
saxpy,f64,512,4,1,9,303.000000,299.000000,379.000000,3.379538,1.850039,37.769280,1,0.0000000000000e+00
saxpy,f64,512,8,0,9,301.000000,299.000000,378.000000,3.401993,1.837825,38.020239,1,0.0000000000000e+00
saxpy,f64,512,8,1,9,300.000000,299.000000,384.000000,3.413333,1.831728,38.146973,1,0.0000000000000e+00
saxpy,f64,1024,1,0,9,590.000000,586.000000,651.000000,3.471186,1.801191,38.793532,1,0.0000000000000e+00
saxpy,f64,1024,1,1,9,593.000000,589.000000,701.000000,3.453626,1.810372,38.597274,1,0.0000000000000e+00
saxpy,f64,1024,2,0,9,590.000000,588.000000,675.000000,3.471186,1.801204,38.793532,1,0.0000000000000e+00
saxpy,f64,1024,2,1,9,590.000000,585.000000,681.000000,3.471186,1.801192,38.793532,1,0.0000000000000e+00
saxpy,f64,1024,4,0,9,591.000000,589.000000,677.000000,3.465313,1.804251,38.727891,1,0.0000000000000e+00
saxpy,f64,1024,4,1,9,591.000000,584.000000,653.000000,3.465313,1.804245,38.727891,1,0.0000000000000e+00
saxpy,f64,1024,8,0,9,591.000000,586.000000,658.000000,3.465313,1.804243,38.727891,1,0.0000000000000e+00
saxpy,f64,1024,8,1,9,592.000000,588.000000,660.000000,3.459459,1.807315,38.662472,1,0.0000000000000e+00
saxpy,f64,2048,1,0,9,1172.000000,1165.000000,1247.000000,3.494881,1.789024,39.058334,1,0.0000000000000e+00
saxpy,f64,2048,1,1,9,1173.000000,1166.000000,1238.000000,3.491901,1.790505,39.025036,1,0.0000000000000e+00
saxpy,f64,2048,2,0,9,1175.000000,1165.000000,1245.000000,3.485957,1.793558,38.958610,1,0.0000000000000e+00
