kernel,dtype,n,stride,gflops,cpe
mul,f32,8388608,4,0.635324,4.650351
mul,f32,8388608,8,0.482235,6.126694
mul,f32,33554432,1,1.000986,3.117873
mul,f32,33554432,2,0.681012,4.763559
mul,f32,33554432,4,0.502231,6.214402
mul,f32,33554432,8,0.31281,9.984843
mul,f32,67108864,1,0.72738,4.291194
mul,f32,67108864,2,0.753528,4.093464
mul,f32,67108864,4,0.536657,5.815672
mul,f32,67108864,8,0.333218,9.350973
mul,f64,512,1,1.646302,1.892702
mul,f64,512,2,1.641026,1.898717
mul,f64,512,4,1.605016,1.870801
mul,f64,512,8,1.595016,1.882523
mul,f64,1024,1,0.995141,3.017507
mul,f64,1024,2,1.651613,1.8181
mul,f64,1024,4,1.400821,2.143459
mul,f64,1024,8,1.404664,2.137731
mul,f64,2048,1,1.412414,2.125971
mul,f64,2048,2,1.473381,2.11828
mul,f64,2048,4,1.452482,2.148696
mul,f64,2048,8,1.452482,2.148814
mul,f64,4096,1,1.752674,1.780761
mul,f64,4096,2,1.491624,2.092318
mul,f64,4096,4,1.744463,1.789095
mul,f64,4096,8,1.467574,2.163112
mul,f64,8192,1,1.771243,1.792262
mul,f64,8192,2,1.77201,1.791475
mul,f64,8192,4,1.787866,1.77555
mul,f64,8192,8,1.68179,1.887555
mul,f64,65536,1,1.793051,1.770414
mul,f64,65536,2,1.685033,1.883865
mul,f64,65536,4,1.65024,1.923698
mul,f64,65536,8,1.600508,1.983431
mul,f64,1048576,1,0.542945,5.846767
mul,f64,1048576,2,1.080767,2.937153
mul,f64,1048576,4,0.957742,3.31448
mul,f64,1048576,8,0.629709,5.041083
mul,f64,8388608,1,0.467605,6.887446
mul,f64,8388608,2,0.371682,8.66504
mul,f64,8388608,4,0.283735,11.350883
mul,f64,8388608,8,0.172866,18.05074
mul,f64,33554432,1,0.512675,6.086457
mul,f64,33554432,2,0.39209,7.959714
mul,f64,33554432,4,0.309754,10.373628
mul,f64,33554432,8,0.195591,15.966544
mul,f64,67108864,1,0.507329,6.122686
mul,f64,67108864,2,0.423781,7.583071
mul,f64,67108864,4,0.293534,10.636789
mul,f64,67108864,8,0.193562,16.435651
stencil,f32,1024,1,27.923497,0.56502
stencil,f32,2048,1,50.895522,0.310001
stencil,f32,4096,1,43.739316,0.360703
stencil,f32,8192,1,55.790191,0.279694
stencil,f32,65536,1,67.910881,0.229767
stencil,f32,1048576,1,31.600116,0.493792
stencil,f32,8388608,1,5.264158,2.964131
stencil,f32,33554432,1,7.093028,2.199884
stencil,f32,67108864,1,6.883978,2.218153
stencil,f64,1024,1,15.579268,1.00165
stencil,f64,2048,1,21.356994,0.736397
stencil,f64,4096,1,21.987111,0.715292
stencil,f64,8192,1,20.989236,0.749327
stencil,f64,65536,1,24.324104,0.646666
stencil,f64,1048576,1,7.558565,2.080731
stencil,f64,8388608,1,2.856452,5.505829
stencil,f64,33554432,1,3.340908,4.863288
stencil,f64,67108864,1,3.485488,4.47639
saxpy,f32,513,1,3.277955,1.851317
saxpy,f32,513,2,3.288462,1.845426
saxpy,f32,513,4,3.288462,1.845412
saxpy,f32,513,8,3.277955,1.85134
saxpy,f32,1025,1,3.360656,1.805814
saxpy,f32,1025,2,3.377265,1.796985
saxpy,f32,1025,4,3.468697,1.799501
saxpy,f32,1025,8,2.962428,2.107083
saxpy,f32,2049,1,3.004399,2.077749
saxpy,f32,2049,2,2.995614,2.083683
saxpy,f32,2049,4,2.989059,2.088246
saxpy,f32,2049,8,2.993426,2.085363
saxpy,f32,4097,1,3.020273,2.110623
saxpy,f32,4097,2,3.074672,2.073303
saxpy,f32,4097,4,3.073518,2.074063
saxpy,f32,4097,8,3.051769,2.08889
saxpy,f32,8193,1,3.53375,1.804021
saxpy,f32,8193,2,3.611638,1.765052
saxpy,f32,8193,4,3.562948,1.789163
saxpy,f32,8193,8,3.091698,2.061947
saxpy,f32,65537,1,3.644893,1.74895
saxpy,f32,65537,2,3.556285,1.792528
saxpy,f32,65537,4,3.428026,1.859628
saxpy,f32,65537,8,3.39315,1.878868
saxpy,f32,1048577,1,3.478883,1.832423
saxpy,f32,1048577,2,2.562661,2.43578
saxpy,f32,1048577,4,1.939451,3.300259
saxpy,f32,1048577,8,3.058757,2.092653
saxpy,f32,8388609,1,1.784714,3.58639
saxpy,f32,8388609,2,1.879556,3.405424
saxpy,f32,8388609,4,1.517981,4.216581
saxpy,f32,8388609,8,1.065824,5.856384
saxpy,f32,33554433,1,2.347006,2.65937
saxpy,f32,33554433,2,1.899366,3.286126
saxpy,f32,33554433,4,1.311275,4.569115
saxpy,f32,33554433,8,0.85443,7.305318
saxpy,f32,67108865,1,2.410866,2.589065
saxpy,f32,67108865,2,1.926027,3.250797
saxpy,f32,67108865,4,1.325223,4.709287
saxpy,f32,67108865,8,0.823648,7.578358
saxpy,f64,514,1,3.569444,1.840939
saxpy,f64,514,2,3.392739,1.839864
saxpy,f64,514,4,2.051896,3.042043
saxpy,f64,514,8,3.381579,1.845851
saxpy,f64,1026,1,2.948276,2.117163
saxpy,f64,1026,2,3.477966,1.794729
saxpy,f64,1026,4,2.952518,2.114095
saxpy,f64,1026,8,2.961039,2.116773
saxpy,f64,2050,1,2.999268,2.089812
saxpy,f64,2050,2,2.990518,2.096048
saxpy,f64,2050,4,2.95389,2.121917
