kernel,dtype,n,stride,gflops,cpe,gflops_rel
dot,f64,512,8,3.160494,1.887077,0.9938272847222309
dot,f64,514,1,3.532646,1.870472,1.0
dot,f64,514,2,3.532646,1.870565,1.0
dot,f64,514,4,3.520548,1.876888,0.9965753715486917
dot,f64,514,8,3.508532,1.883416,0.9931739551599565
dot,f64,1024,1,2.809328,2.12302,1.0
dot,f64,1024,2,2.805479,2.125889,0.998629921461645
dot,f64,1024,4,2.801642,2.128802,0.9972641144074313
dot,f64,1024,8,2.805479,2.125897,0.998629921461645
dot,f64,1026,1,3.631858,1.819384,1.0
dot,f64,1026,2,3.64476,1.812978,1.0035524516652359
dot,f64,1026,4,3.109091,2.125297,0.8560607270438436
dot,f64,1026,8,3.123288,2.115628,0.8599697455131782
dot,f64,2048,1,2.854355,2.089461,1.0
dot,f64,2048,2,3.332791,1.789536,1.167616151459787
dot,f64,2048,4,2.836565,2.10256,0.9937674185586586
dot,f64,2048,8,2.957401,2.110635,1.0361013258687164
dot,f64,2050,1,3.113136,2.122587,1.0
dot,f64,2050,2,3.110774,2.124194,0.9992412795329212
dot,f64,2050,4,3.101362,2.130608,0.9962179615667288
dot,f64,2050,8,2.918149,2.139021,0.9373663726865772
dot,f64,4096,1,3.485957,1.790726,1.0
dot,f64,4096,2,3.007342,2.075594,0.8627019782515963
dot,f64,4096,4,3.554013,1.778985,1.0195229028929502
dot,f64,4096,8,3.036323,2.082376,0.8710156206746096
dot,f64,4098,1,3.528196,1.769175,1.0
dot,f64,4098,2,3.517597,1.774489,0.9969959151929201
dot,f64,4098,4,3.516088,1.775375,0.9965682178654474
dot,f64,4098,8,2.108025,2.96132,0.5974795617930524
dot,f64,8192,1,3.581202,1.765572,1.0
dot,f64,8192,2,3.579637,1.766236,0.9995629958879727
dot,f64,8192,4,3.548625,1.78167,0.990903333573476
dot,f64,8192,8,3.572612,1.769698,0.9976013640113012
dot,f64,8194,1,3.537233,1.76463,1.0
dot,f64,8194,2,3.521272,1.772642,0.9954877159632968
dot,f64,8194,4,3.53342,1.766549,0.9989220387800295
dot,f64,8194,8,3.422009,1.824088,0.9674253858877829
dot,f64,65536,1,3.602661,1.755084,1.0
dot,f64,65536,2,3.594855,1.758785,0.9978332682425574
dot,f64,65536,4,3.565615,1.773184,0.9897170452618218
dot,f64,65536,8,3.364185,1.879358,0.9338055953640934
dot,f64,65538,1,3.391534,1.84046,1.0
dot,f64,65538,2,3.54758,1.759494,1.0460104483693808
dot,f64,65538,4,2.629725,2.373809,0.7753792236787247
dot,f64,65538,8,3.340197,1.868728,0.9848631917002748
dot,f64,1048576,1,1.037509,6.093892,1.0
dot,f64,1048576,2,1.506378,4.19712,1.4519180074582485
dot,f64,1048576,4,1.357367,4.657873,1.308294193110614
