dtype,kernel,region,gmean_speedup,gmean_gflops_simd,gmean_gflops_scalar,gmean_cpe_simd,gmean_cpe_scalar,samples,note
f32,dot,L2,0.992751407193977,3.248287031493081,3.2720044594793385,1.9882690688261382,1.9115056145200577,6,stride=1 only
f32,dot,LLC,0.8782671375107508,2.6991301657422557,3.07324508735728,2.286429321827522,2.0351578257269556,4,stride=1 only
f32,mul,DRAM,0.9053968002441443,0.8743964039488332,0.965760430910567,3.57972420095256,3.273279437007343,12,stride=1 only
f32,mul,L1,0.9920818403254448,1.6805830992092128,1.693996433457456,1.8886317566211437,1.833384214264642,18,stride=1 only
f32,mul,L2,0.9709911671672897,1.7327157471620662,1.7844814718726896,1.8026880190432364,1.7702276340462915,6,stride=1 only
f32,mul,LLC,0.7893297341693912,1.3274996454302763,1.6818062059035435,2.3520695859440512,1.8873556369550315,4,stride=1 only
f32,saxpy,DRAM,0.9478529789864122,2.221384056336299,2.343595584530144,2.8227285404197016,2.6504544824061145,12,stride=1 only
f32,saxpy,L1,0.9184722697082771,3.223247132525162,3.509357047381432,1.928995513500409,1.8007842869040356,18,stride=1 only
f32,saxpy,L2,1.0401004201026007,3.5741771328938543,3.4363769726593127,1.7708826965171618,1.8090935813054683,6,stride=1 only
f32,saxpy,LLC,0.8440940664938443,2.917121318623217,3.4559197066035656,2.1620144680742404,1.8014502899424563,4,stride=1 only
f32,stencil,DRAM,0.9051636072258077,5.739052629533403,6.34034840079657,2.716199721869031,2.5000553654846804,12,stride=1 only
f32,stencil,L1,2.8606296533091538,39.246808915871256,13.719639964743726,0.39945636398898376,1.1545880044618386,14,stride=1 only
f32,stencil,L2,3.815597786169118,53.61696800427616,14.05204924864681,0.29136313933302155,1.1354610554769529,6,stride=1 only
f32,stencil,LLC,1.8998746434797393,23.556961476858255,12.39921884199276,0.662966833034467,1.2944135243972978,4,stride=1 only
f64,dot,DRAM,1.0536885908528817,1.621989031875288,1.539343830763518,3.8632820526988496,4.0615494973828,12,stride=1 only
f64,dot,L1,0.9157285631117388,3.1791952113614457,3.471765913425499,1.973705553560914,1.8151549593677834,18,stride=1 only
f64,dot,L2,1.001447191235294,3.5281246365097,3.5230261439524604,1.7768007930516783,1.7747273147833398,6,stride=1 only
f64,dot,LLC,0.8864410479584941,1.4603429249857314,1.6474224973549614,4.3018067552846455,3.794014970835601,4,stride=1 only
f64,mul,DRAM,0.976022249684572,0.4735308148146958,0.48516395498947906,6.603346746845712,6.468260331484292,12,stride=1 only
f64,mul,L1,0.9182154586646392,1.5931054557546638,1.735001780596808,1.9470070491434162,1.8319489307653134,18,stride=1 only
f64,mul,L2,1.0206335309504102,1.7952036810725351,1.7589111337551764,1.750041874566617,1.778237813307213,6,stride=1 only
f64,mul,LLC,0.9617522453481817,0.8545566073258818,0.8885413176410188,3.6865038838668087,3.5194694640585955,4,stride=1 only
f64,saxpy,DRAM,1.0594002053198806,1.2605843920466462,1.1899038585385389,4.997633436079942,5.284935845791628,12,stride=1 only
f64,saxpy,L1,0.9591330275299296,3.193715358542409,3.3297939564934333,1.9626328704884826,1.8476507830457718,18,stride=1 only
f64,saxpy,L2,1.0265217064165948,3.5233122378653383,3.432282255544888,1.7776855965746696,1.820044995708129,6,stride=1 only
f64,saxpy,LLC,0.8388736337264512,2.421356945502453,2.8864382526201013,2.5786423021341465,2.2182550862735133,4,stride=1 only
f64,stencil,DRAM,1.0433793550349784,3.2333844059221466,3.0989537892608108,4.857572508484825,5.035701046213182,12,stride=1 only
f64,stencil,L1,1.5177495352448285,20.01794652348996,13.189229223029116,0.7831723017366523,1.1845868978029332,14,stride=1 only
f64,stencil,L2,1.8385563545216055,24.968141773269814,13.580297232589611,0.6273619550602697,1.1496167738701906,6,stride=1 only
f64,stencil,LLC,0.9042372303837846,7.080111799485023,7.829927326128807,2.214581661551899,1.9937300016171209,4,stride=1 only
